id,title,description,body,year,category,author,source
140,"PAISLEY #39;S PLAN FOR IRA NORTHERN Ireland could return to self-government next spring, the Rev Ian Paisley #39;s Democratic Unionist Party said last night.",,"PAISLEY #39;S PLAN FOR IRA NORTHERN Ireland could return to self-government next spring, the Rev Ian Paisley #39;s Democratic Unionist Party said last night.",2024,World,Marco Rossi,The Guardian
141,Travelers could soon report to work mid-flight NEW YORK - Business travelers will be able to surf the Web securely on long-distance flights by combining services from Boeing Co.,,Travelers could soon report to work mid-flight NEW YORK - Business travelers will be able to surf the Web securely on long-distance flights by combining services from Boeing Co.,2023,Sci/Tech,Chen Li,CNBC
142,Jerry Rice Reiterates Call for Trade (AP) AP - Jerry Rice was scheduled to meet with Oakland Raiders owner Al Davis on Wednesday night to discuss the receiver's future after he said he wants to be tra,,Jerry Rice Reiterates Call for Trade (AP) AP - Jerry Rice was scheduled to meet with Oakland Raiders owner Al Davis on Wednesday night to discuss the receiver's future after he said he wants to be traded.,2024,Sports,Chen Li,TechCrunch
143,Marchers demand fair Ukraine poll Tens of thousands march in a tense Kiev in support for the opposition ahead of next weekend's election.,,Marchers demand fair Ukraine poll Tens of thousands march in a tense Kiev in support for the opposition ahead of next weekend's election.,2020,World,Priya Singh,Bloomberg
144,"Wireless Internet Siemens Sets Wireless Data Speed Record In order to achieve the speed of one gigabit per second, Siemens combined an  quot;intelligent antenna system quot; consisting of three transm",,"Wireless Internet Siemens Sets Wireless Data Speed Record In order to achieve the speed of one gigabit per second, Siemens combined an  quot;intelligent antenna system quot; consisting of three transmitting and four receiving antennas with Orthogonal Frequency Division Multiplexing.",2019,Sci/Tech,A. Johnson,Bloomberg
145,"Sudan Talks in Nigeria Said Deadlocked (Reuters) Reuters - After two weeks of talks to end the\crisis in Sudan's Darfur region, government and rebel\negotiators remain far apart on key security issues",,"Sudan Talks in Nigeria Said Deadlocked (Reuters) Reuters - After two weeks of talks to end the\crisis in Sudan's Darfur region, government and rebel\negotiators remain far apart on key security issues, including\disarming warring factions, rebels and diplomats said on\Monday.",2019,World,Sara Ahmed,Reuters
146,Sybase offers free ASE license for Linux Sybase Inc,is trying to lure businesses seeking low-cost open source DBMS alternatives by offering a free production license for its Adaptive Server Enterprise Express Edition on Linux.,Sybase offers free ASE license for Linux Sybase Inc. is trying to lure businesses seeking low-cost open source DBMS alternatives by offering a free production license for its Adaptive Server Enterprise Express Edition on Linux.,2024,Sci/Tech,Sara Ahmed,AP
147,"Report Alleges Gay Abuse in Jamaica (AP) AP - A report by a watchdog agency alleges widespread abuse against gays in this Caribbean island, known for the slogan ""one love.""",,"Report Alleges Gay Abuse in Jamaica (AP) AP - A report by a watchdog agency alleges widespread abuse against gays in this Caribbean island, known for the slogan ""one love.""",2023,World,Marco Rossi,Wired
148,New GuruNet Beta includes Desktop Search New GuruNet Beta includes Desktop Search\\Bob Rosenschein and his team are online with the beta release of a new Gurunet client (ver,"5.2, Windows only). Their useful GuruNet answer/reference tool now includes a desktop search app. We haven't has a chance to try it out yet (we will) but we ...","New GuruNet Beta includes Desktop Search New GuruNet Beta includes Desktop Search\\Bob Rosenschein and his team are online with the beta release of a new Gurunet client (ver. 5.2, Windows only). Their useful GuruNet answer/reference tool now includes a desktop search app. We haven't has a chance to try it out yet (we will) but we ...",2024,Sci/Tech,Chen Li,Reuters
149,"Schroeder #39;s SPD Routed in Saarland, Far Right Gains German Chancellor Gerhard Schroeder #39;s Social Democrats slumped to their worst result in 44 years in the western state of Saarland on Sunday",,"Schroeder #39;s SPD Routed in Saarland, Far Right Gains German Chancellor Gerhard Schroeder #39;s Social Democrats slumped to their worst result in 44 years in the western state of Saarland on Sunday as voters punished the party for its painful economic reforms.",2024,World,Chen Li,AP
150,China Resources To Issue 57.97M Shrs For Supermarket Buys HONG KONG (Dow Jones)--China Resources Enterprise Ltd,(0291.HK) said it will issue 57.97 million new shares to its parent China Resources (Holdings) Co.,China Resources To Issue 57.97M Shrs For Supermarket Buys HONG KONG (Dow Jones)--China Resources Enterprise Ltd. (0291.HK) said it will issue 57.97 million new shares to its parent China Resources (Holdings) Co.,2025,Business,Jamie Lee,Bloomberg
151,"Maradona to Return to Cuba on Monday for Drug Rehab  HAVANA (Reuters) - Fallen soccer great Diego Maradona will  return to Cuba Monday to be shut away in a mental clinic for  more drug treatment, Arge",,"Maradona to Return to Cuba on Monday for Drug Rehab  HAVANA (Reuters) - Fallen soccer great Diego Maradona will  return to Cuba Monday to be shut away in a mental clinic for  more drug treatment, Argentine diplomats said Friday.",2025,Sports,Jane Doe,TechCrunch
152,Deadlock over Axum obelisk Strained relations between Eritrea and Ethiopia could prevent the Axum obelisk's return to Ethiopia from Italy.,,Deadlock over Axum obelisk Strained relations between Eritrea and Ethiopia could prevent the Axum obelisk's return to Ethiopia from Italy.,2020,World,M. Patel,The Guardian
153,Barghouthi Drops Out of Palestinian Election Jailed Palestinian uprising leader Marwan Barghouthi has pulled out of a Jan,"9 presidential election to succeed Yasser Arafat, a close aide said on Sunday.","Barghouthi Drops Out of Palestinian Election Jailed Palestinian uprising leader Marwan Barghouthi has pulled out of a Jan. 9 presidential election to succeed Yasser Arafat, a close aide said on Sunday.",2024,World,Chen Li,The Guardian
154,CIBC  #39;disturbed #39; at word of continued faxes of client data to US &lt;b&gt;...&lt;/b&gt; TORONTO (CP) - CIBC revealed Friday that it learned last month that faxes containing sensitive customer,,CIBC  #39;disturbed #39; at word of continued faxes of client data to US &lt;b&gt;...&lt;/b&gt; TORONTO (CP) - CIBC revealed Friday that it learned last month that faxes containing sensitive customer information were allegedly still arriving at a US junkyard two years after the bank thought the problem had been fixed.,2025,Business,Jane Doe,The Guardian
155,Mystifying Image Of Virgin Mary On Grilled Cheese Sandwich Sold To &lt;b&gt;...&lt;/b&gt; ST,"JOHNS, Antigua, Nov. 22 /PRNewswire/ -- In a perfect example of Americana pop culture phenomenon, a grilled cheese sandwich that bears the image of the Virgin Mary has been sold on eBay to Internet casino GoldenPalace.","Mystifying Image Of Virgin Mary On Grilled Cheese Sandwich Sold To &lt;b&gt;...&lt;/b&gt; ST. JOHNS, Antigua, Nov. 22 /PRNewswire/ -- In a perfect example of Americana pop culture phenomenon, a grilled cheese sandwich that bears the image of the Virgin Mary has been sold on eBay to Internet casino GoldenPalace.",2022,Sci/Tech,Jane Doe,BBC
156,"NASA's Genesis Capsule Crashes A capsule carrying samples of solar wind was supposed to be plucked out of midair by a helicopter, but its chutes apparently malfunctioned","Amit Asaravala reports from Dugway Proving Grounds, Utah.","NASA's Genesis Capsule Crashes A capsule carrying samples of solar wind was supposed to be plucked out of midair by a helicopter, but its chutes apparently malfunctioned. Amit Asaravala reports from Dugway Proving Grounds, Utah.",2022,Sci/Tech,Jane Doe,The Guardian
157,Let light shine on Bombardier dealings Laurent Beaudoin has done us all a favour,Monday #39;s boardroom upheaval at Bombardier Inc. brings a natural opportunity to reassess the taxpayers #39; role in this prestigious company.,Let light shine on Bombardier dealings Laurent Beaudoin has done us all a favour. Monday #39;s boardroom upheaval at Bombardier Inc. brings a natural opportunity to reassess the taxpayers #39; role in this prestigious company.,2021,Business,A. Johnson,Bloomberg
158,"Gloucester slows down Winthrop A sense of history is valuable, even in a football game","Gloucester has watched Winthrop's Anthony Fucillo walk all over the Northeastern Conference this season. Through eight games, Fucillo had thrown 11 touchdown passes and scored 87 points.","Gloucester slows down Winthrop A sense of history is valuable, even in a football game. Gloucester has watched Winthrop's Anthony Fucillo walk all over the Northeastern Conference this season. Through eight games, Fucillo had thrown 11 touchdown passes and scored 87 points.",2020,Sports,Sara Ahmed,TechCrunch
159,"New gaming star Like millions of video-game freaks, I spent a chunk of the past week making my bones as a low-level gangsta in the alternate universe of  quot;Grand Theft Auto: San Andreas.",,"New gaming star Like millions of video-game freaks, I spent a chunk of the past week making my bones as a low-level gangsta in the alternate universe of  quot;Grand Theft Auto: San Andreas.",2021,Sci/Tech,Alex Smith,Wired
160,"Libya Agrees to Pay \$35 Million to Berlin Bomb Victims  TRIPOLI, Libya (Reuters) - Libya signed a deal Friday to  pay \$35 million in compensation to more than 160 victims of a  Berlin nightclub bomb",,"Libya Agrees to Pay \$35 Million to Berlin Bomb Victims  TRIPOLI, Libya (Reuters) - Libya signed a deal Friday to  pay \$35 million in compensation to more than 160 victims of a  Berlin nightclub bombing in 1986, taking another major step  toward ending its international isolation.",2019,World,Alex Smith,Bloomberg
161,"Paraguay Clashes Leave 1 Dead, 20 Hurt Clashes between landless farmworkers and Paraguayan security forces left a police officer dead and 20 other people injured in a resurgence of violence that has r",,"Paraguay Clashes Leave 1 Dead, 20 Hurt Clashes between landless farmworkers and Paraguayan security forces left a police officer dead and 20 other people injured in a resurgence of violence that has rattled Paraguay's government.",2022,World,M. Patel,The Guardian
162,Lehman Brothers Names Christopher M,"O #39;Meara Chief Financial &lt;b&gt;...&lt;/b&gt; NEW YORK, Nov. 29 /PRNewswire-FirstCall/ -- Lehman Brothers, the global investment bank, today announced that Christopher M. O #39;Meara, 43, has been named Chief Financial Officer.","Lehman Brothers Names Christopher M. O #39;Meara Chief Financial &lt;b&gt;...&lt;/b&gt; NEW YORK, Nov. 29 /PRNewswire-FirstCall/ -- Lehman Brothers, the global investment bank, today announced that Christopher M. O #39;Meara, 43, has been named Chief Financial Officer.",2022,Business,Alex Smith,BBC
163,Zarqawi Pledges Allegiance to Bin Laden -- Web Site  DUBAI (Reuters) - An Iraq-based group led by Abu Musab  al-Zarqawi has pledged allegiance to Osama bin Laden's al Qaeda  group in a move it said ai,,"Zarqawi Pledges Allegiance to Bin Laden -- Web Site  DUBAI (Reuters) - An Iraq-based group led by Abu Musab  al-Zarqawi has pledged allegiance to Osama bin Laden's al Qaeda  group in a move it said aimed to increase the ""ire of infidels  and the fear of the enemies of Islam.""",2020,World,Jamie Lee,Reuters
164,"Notre Dame #39;s firing isn #39;t case of black, white Now that Notre Dame has fired Tyrone Willingham, that #39;s how many black head coaches there are at America #39;s 117 Division IA universities.",,"Notre Dame #39;s firing isn #39;t case of black, white Now that Notre Dame has fired Tyrone Willingham, that #39;s how many black head coaches there are at America #39;s 117 Division IA universities.",2023,Sports,Chen Li,The Guardian
165,"Microsoft Sues Web Hoster, Others Over Spam  SEATTLE (Reuters) - Microsoft Corp","filed nine new lawsuits  against spammers who send unsolicited e-mail, including an  e-mail marketing Web hosting company, the world's largest  software maker said on Thursday","Microsoft Sues Web Hoster, Others Over Spam  SEATTLE (Reuters) - Microsoft Corp. filed nine new lawsuits  against spammers who send unsolicited e-mail, including an  e-mail marketing Web hosting company, the world's largest  software maker said on Thursday",2019,Sci/Tech,Marco Rossi,TechCrunch
166,"Web Site for Complaints Sparks Lawsuit (AP) AP - When Alan and Linda Townsend were unhappy with the sprayed-on siding applied to their house, the frustrated couple launched a Web site to complain and","Visitor postings to the Web site said the product, Spray on Siding, cracked, bubbled and buckled. For their efforts, the Townsends got slapped with a lawsuit by the product's maker. The federal case may help shape the boundaries of online speech.","Web Site for Complaints Sparks Lawsuit (AP) AP - When Alan and Linda Townsend were unhappy with the sprayed-on siding applied to their house, the frustrated couple launched a Web site to complain and to give other unsatisfied customers a forum. Visitor postings to the Web site said the product, Spray on Siding, cracked, bubbled and buckled. For their efforts, the Townsends got slapped with a lawsuit by the product's maker. The federal case may help shape the boundaries of online speech.",2025,Sci/Tech,Chen Li,Wired
167,"Photo: Dialing for a song Verizon Wireless lets you choose ""ringback tones"" from a catalog of more than 2,200 songs in 13 different music genres.",,"Photo: Dialing for a song Verizon Wireless lets you choose ""ringback tones"" from a catalog of more than 2,200 songs in 13 different music genres.",2025,Sci/Tech,Alex Smith,Reuters
168,"UK: M amp;S reports lower profit, reshuffles management UK food and clothing retailer Marks  amp; Spencer has reported lower profits for the first half, and announced management changes as it tries to",,"UK: M amp;S reports lower profit, reshuffles management UK food and clothing retailer Marks  amp; Spencer has reported lower profits for the first half, and announced management changes as it tries to turn around its business.",2024,Business,Jane Doe,Reuters
169,HP Signs Outsourcing Deal with Nokia  NEW YORK (Reuters) - Hewlett-Packard Co,"said on Wednesday  it had signed a five-year technology outsourcing agreement with  Nokia worth \$100 million per year, finalizing a deal first  flagged in February.","HP Signs Outsourcing Deal with Nokia  NEW YORK (Reuters) - Hewlett-Packard Co. said on Wednesday  it had signed a five-year technology outsourcing agreement with  Nokia worth \$100 million per year, finalizing a deal first  flagged in February.",2021,Business,M. Patel,Reuters
170,Williams Retired Over Disputed Drug Test (AP) AP - Ricky Williams abruptly retired from the Miami Dolphins last summer because he disagreed with the NFL over a disputed drug test,Williams now wants to play again.,Williams Retired Over Disputed Drug Test (AP) AP - Ricky Williams abruptly retired from the Miami Dolphins last summer because he disagreed with the NFL over a disputed drug test. Williams now wants to play again.,2025,Sports,Marco Rossi,Reuters
171,SL vindicated over Muralitharan Sri Lanka Cricket says efforts to convince the ICC Muttiah Muralitharan's bowling action was legitimate have paid off.,,SL vindicated over Muralitharan Sri Lanka Cricket says efforts to convince the ICC Muttiah Muralitharan's bowling action was legitimate have paid off.,2019,World,Chen Li,CNBC
172,Rats May Help Unravel Human Drug Addiction Mysteries By LAURAN NEERGAARD    WASHINGTON (AP) -- Rats can become drug addicts,"That's important to know, scientists say, and has taken a long time to prove...","Rats May Help Unravel Human Drug Addiction Mysteries By LAURAN NEERGAARD    WASHINGTON (AP) -- Rats can become drug addicts. That's important to know, scientists say, and has taken a long time to prove...",2023,Sci/Tech,Alex Smith,CNBC
173,"Interest Rates Expected To Rise The Federal Reserve is likely to announce a quarter-point rise in the federal funds target rate from 1.75 percent to 2.0 percent, economists and traders agree.",,"Interest Rates Expected To Rise The Federal Reserve is likely to announce a quarter-point rise in the federal funds target rate from 1.75 percent to 2.0 percent, economists and traders agree.",2023,Business,Marco Rossi,BBC
174,"Murdoch wants Malone #39;s word Following a policy of trust-but-verify, Rupert Murdoch said Tuesday that he wants formal assurance that Liberty Media Chairman John Malone won #39;t make a run at his N",,"Murdoch wants Malone #39;s word Following a policy of trust-but-verify, Rupert Murdoch said Tuesday that he wants formal assurance that Liberty Media Chairman John Malone won #39;t make a run at his News Corp.",2023,Business,Jane Doe,The Guardian
175,Byrd Defends Dayton's Office Closure (AP) AP - The Senate's most senior member on Thursday defended Sen,Mark Dayton's decision to close his Washington office over concerns about a terrorist attack.,Byrd Defends Dayton's Office Closure (AP) AP - The Senate's most senior member on Thursday defended Sen. Mark Dayton's decision to close his Washington office over concerns about a terrorist attack.,2019,World,Jamie Lee,CNBC
176,"Zayed bin Sultan Dies; Gulf Leader and Statesman Sheik Zayed bin Sultan al-Nahayan, a Bedouin tribesman who became president of the federation known as the United Arab Emirates and one of the Arab wor",,"Zayed bin Sultan Dies; Gulf Leader and Statesman Sheik Zayed bin Sultan al-Nahayan, a Bedouin tribesman who became president of the federation known as the United Arab Emirates and one of the Arab world #39;s leading statesmen, died yesterday.",2025,World,M. Patel,CNBC
177,"Oil prices ease in Asian trade Oil prices eased from near-record highs in Asian trade today after the US government said it may draw from its strategic reserves to make up for supply shortages, dealer",,"Oil prices ease in Asian trade Oil prices eased from near-record highs in Asian trade today after the US government said it may draw from its strategic reserves to make up for supply shortages, dealers said.",2023,Business,Chen Li,Reuters
178,Hurricane Charley Tears Into Outback  NEW YORK (Reuters) - Outback Steakhouse Inc,"&lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=OSI.N target=/stocks/quickinfo/fullquote""&gt;OSI.N&lt;/A&gt; on  Tuesday said it lost about 130 operating days and up to \$2  million in revenue because it had to close some restaurants in  the South due to Hurricane Charley.","Hurricane Charley Tears Into Outback  NEW YORK (Reuters) - Outback Steakhouse Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=OSI.N target=/stocks/quickinfo/fullquote""&gt;OSI.N&lt;/A&gt; on  Tuesday said it lost about 130 operating days and up to \$2  million in revenue because it had to close some restaurants in  the South due to Hurricane Charley.",2021,Business,Marco Rossi,CNBC
179,Finally! The Treo 650 Arrives The palmOne Treo 600 may be the nation #39;s most loved smart phonea celebrated balance of cell phone and PDA,"Rumors have swirled around the Internet for months about the next generation of Treos; today, with","Finally! The Treo 650 Arrives The palmOne Treo 600 may be the nation #39;s most loved smart phonea celebrated balance of cell phone and PDA. Rumors have swirled around the Internet for months about the next generation of Treos; today, with",2020,Sci/Tech,Marco Rossi,CNBC
180,"Iraq Sets Election Despite Fresh Violence Gunmen on Monday assassinated a member of an influential Sunni clerics #39; group that has called for a boycott of national elections, just a day after Iraqi",30 in spite of rising violence in Iraq.,"Iraq Sets Election Despite Fresh Violence Gunmen on Monday assassinated a member of an influential Sunni clerics #39; group that has called for a boycott of national elections, just a day after Iraqi officials announced the balloting would be held Jan. 30 in spite of rising violence in Iraq.",2020,World,A. Johnson,Reuters
182,Rejecting Rite Aid Shares of drugstore chain Rite Aid (NYSE: RAD) needed some bandages and maybe a smear of soothing ointment this morning as they were scraped by investors for a 13 drop.,,Rejecting Rite Aid Shares of drugstore chain Rite Aid (NYSE: RAD) needed some bandages and maybe a smear of soothing ointment this morning as they were scraped by investors for a 13 drop.,2025,Business,A. Johnson,The Guardian
183,"Mets Lock Up Benson Kris Benson and the New York Mets complete more than three months of negotiations, agreeing Saturday to a \$22.5 million, three-year contract.",,"Mets Lock Up Benson Kris Benson and the New York Mets complete more than three months of negotiations, agreeing Saturday to a \$22.5 million, three-year contract.",2020,Sports,Jamie Lee,AP
184,Ali Calls for U.S,"Boxing Commission WASHINGTON - Boxing great Muhammad Ali asked Congress on Thursday to create a U.S. Boxing Commission, saying oversight by the federal government is needed to protect boxers from exploitation and injury...","Ali Calls for U.S. Boxing Commission WASHINGTON - Boxing great Muhammad Ali asked Congress on Thursday to create a U.S. Boxing Commission, saying oversight by the federal government is needed to protect boxers from exploitation and injury...",2024,World,John Doe,TechCrunch
185,"Bond yields near 7-month lows NEW YORK (CNN/Money) - US Treasuries rallied early Monday, sending yields to their lowest levels in nearly seven months, as record high crude oil prices pressured equitie",,"Bond yields near 7-month lows NEW YORK (CNN/Money) - US Treasuries rallied early Monday, sending yields to their lowest levels in nearly seven months, as record high crude oil prices pressured equities.",2022,Business,Priya Singh,BBC
186,Australia Firm on Troops After Iraq Hostage Report (Reuters) Reuters - Australian Prime Minister John Howard\remained committed on Tuesday to the U.S.-led war on Iraq as\investigations continued into,,Australia Firm on Troops After Iraq Hostage Report (Reuters) Reuters - Australian Prime Minister John Howard\remained committed on Tuesday to the U.S.-led war on Iraq as\investigations continued into an unconfirmed report that two\Australians had been taken hostage and threatened with\execution.,2021,World,John Doe,Wired
187,Glazer increases stake in United to 25 percent Tampa Bay Buccaneers owner Malcolm Glazer increased his stake in Manchester United to 25.5 percent Friday as he pursues a possible takeover of the world,,Glazer increases stake in United to 25 percent Tampa Bay Buccaneers owner Malcolm Glazer increased his stake in Manchester United to 25.5 percent Friday as he pursues a possible takeover of the world #39;s richest soccer club.,2022,Sports,Alex Smith,Bloomberg
188,Canadian Synchrotron Radiation Facility Opens A synchrotron acts like a gigantic microscope that generates intense beams of brilliant light to view the microstructure of materials.,,Canadian Synchrotron Radiation Facility Opens A synchrotron acts like a gigantic microscope that generates intense beams of brilliant light to view the microstructure of materials.,2024,Sci/Tech,John Doe,TechCrunch
189,"Cendant to Spin Off Mortgage Operations Cendant Corp., the world #39;s top hotel franchisor, said Tuesday that it plans to spin off its mortgage and fleet operations in the first quarter of 2005 by di",,"Cendant to Spin Off Mortgage Operations Cendant Corp., the world #39;s top hotel franchisor, said Tuesday that it plans to spin off its mortgage and fleet operations in the first quarter of 2005 by distributing PHH Corp.",2025,Business,Priya Singh,AP
190,"Whats common to country music WASHINGTON, OCTOBER 1: Researchers who found a link between country music and suicide, and a man who patented his combover hairstyle won IgNobel Awards for true but funny",,"Whats common to country music WASHINGTON, OCTOBER 1: Researchers who found a link between country music and suicide, and a man who patented his combover hairstyle won IgNobel Awards for true but funny experiments.",2019,Sci/Tech,Chen Li,CNBC
191,"Bush: War in Iraq Was Right Despite No WMDs President Bush said on Thursday he\was ""right to take action"" in Iraq even though a new U.S.\report found that Baghdad had no stockpiles of weapons of mass\",,"Bush: War in Iraq Was Right Despite No WMDs President Bush said on Thursday he\was ""right to take action"" in Iraq even though a new U.S.\report found that Baghdad had no stockpiles of weapons of mass\destruction and that its nuclear program had decayed.",2019,World,John Doe,TechCrunch
192,"Celtic hit by Dons in full spate Resurgent Aberdeen, all of brave, magnificent and lucky, bludgeoned Celtic in their own back yard last night","This was a mesmerising match, distinguished by two impossibly early Aberdeen goals followed by","Celtic hit by Dons in full spate Resurgent Aberdeen, all of brave, magnificent and lucky, bludgeoned Celtic in their own back yard last night. This was a mesmerising match, distinguished by two impossibly early Aberdeen goals followed by",2025,Sports,John Doe,BBC
193,"VW workers launch warning strikes HANOVER - About 4,000 Volkswagen workers stayed off the job for about an hour Friday to press demands for higher wages that remained unresolved after a fifth round of",,"VW workers launch warning strikes HANOVER - About 4,000 Volkswagen workers stayed off the job for about an hour Friday to press demands for higher wages that remained unresolved after a fifth round of talks between their union and management at Europe #39;s largest car maker.",2019,Business,Alex Smith,BBC
194,"Blast kills 10 in southwestern Pakistan At least 10 people were killed and 21 others wounded in a powerful bomb blast Friday in Quetta, capital of Pakistan #39;s southwestern Baluchistan province, sta",,"Blast kills 10 in southwestern Pakistan At least 10 people were killed and 21 others wounded in a powerful bomb blast Friday in Quetta, capital of Pakistan #39;s southwestern Baluchistan province, state-run Pakistan TV reported.",2023,World,Alex Smith,BBC
196,"Microsoft's Bill Gates in Paris to seal UNESCO partnership, meet Chirac (Canadian Press) Canadian Press - PARIS (AP) - Microsoft Corp","chairman Bill Gates signed a co-operation agreement with UNESCO on Wednesday to improve access to computers, the Internet and information technology training in developing countries.","Microsoft's Bill Gates in Paris to seal UNESCO partnership, meet Chirac (Canadian Press) Canadian Press - PARIS (AP) - Microsoft Corp. chairman Bill Gates signed a co-operation agreement with UNESCO on Wednesday to improve access to computers, the Internet and information technology training in developing countries.",2025,World,John Doe,AP
197,Computers snared by spyware EDITOR #39;S NOTE: This is the first of a two-part series on the spyware epidemic,"NEW YORK - David Eckstein turned on his computer one day and launched his Web browser, just as he had every day.","Computers snared by spyware EDITOR #39;S NOTE: This is the first of a two-part series on the spyware epidemic. NEW YORK - David Eckstein turned on his computer one day and launched his Web browser, just as he had every day.",2019,Sci/Tech,Chen Li,BBC
198,"Users Applaud Idea of Oracle BI as Center of the Universe The message was, characteristically, all-Oracle: Consolidate, ditch the special-purpose data warehouses, and move to a version of Oracle Corp.",,"Users Applaud Idea of Oracle BI as Center of the Universe The message was, characteristically, all-Oracle: Consolidate, ditch the special-purpose data warehouses, and move to a version of Oracle Corp.",2021,Sci/Tech,M. Patel,AP
199,The BCS shuffle University of Texas head coach Mack Brown didn #39;t have long to savor his team #39;s 26-13 victory over in-state rival Texas A amp;M.,,The BCS shuffle University of Texas head coach Mack Brown didn #39;t have long to savor his team #39;s 26-13 victory over in-state rival Texas A amp;M.,2024,Sports,Marco Rossi,Wired
200,"Air Canada to Buy 45 Embraer Jets Air Canada (AC.TO: Quote, Profile, Research) (ACErv.TO: Quote, Profile, Research) has agreed to buy 45 regional jets from Embraer SA (EMBR4.",,"Air Canada to Buy 45 Embraer Jets Air Canada (AC.TO: Quote, Profile, Research) (ACErv.TO: Quote, Profile, Research) has agreed to buy 45 regional jets from Embraer SA (EMBR4.",2020,Business,Priya Singh,Wired
201,Cricket telecast back-up poser Sept 16: Cricket authorities will seek a clarification from the court whether they can prepare a contingency plan if the dispute between Zee Telefilms and ESPN-STAR is n,,Cricket telecast back-up poser Sept 16: Cricket authorities will seek a clarification from the court whether they can prepare a contingency plan if the dispute between Zee Telefilms and ESPN-STAR is not resolved soon.,2025,Sports,John Doe,Reuters
202,"Sales chief ousted just over a year after being hired LOS ANGELES (CBS.MW) -- Following a wave of declining quarterly sales, Manugistics Group has fired its top sales and marketing executive a little",,"Sales chief ousted just over a year after being hired LOS ANGELES (CBS.MW) -- Following a wave of declining quarterly sales, Manugistics Group has fired its top sales and marketing executive a little more than a year after he was hired, the company disclosed in a regulatory filing Monday.",2024,Business,Alex Smith,Bloomberg
203,Singapore Air Sets \$7.35 Bln Boeing Order  SINGAPORE/CHICAGO (Reuters) - Singapore Airlines Ltd,"&lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SIAL.SI target=/stocks/quickinfo/fullquote""&gt;SIAL.SI&lt;/A&gt; plans to buy up to 31 Boeing Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BA.N target=/stocks/quickinfo/fullquote""&gt;BA.N&lt;/A&gt; long-range  777-300ER planes worth about \$7.35 billion, the carrier said on  Wednesday.","Singapore Air Sets \$7.35 Bln Boeing Order  SINGAPORE/CHICAGO (Reuters) - Singapore Airlines Ltd.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SIAL.SI target=/stocks/quickinfo/fullquote""&gt;SIAL.SI&lt;/A&gt; plans to buy up to 31 Boeing Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BA.N target=/stocks/quickinfo/fullquote""&gt;BA.N&lt;/A&gt; long-range  777-300ER planes worth about \$7.35 billion, the carrier said on  Wednesday.",2021,Business,Jane Doe,Reuters
204,Tight Lies Tour Goes Against the Grain (AP) AP - The Tight Lies Tour is one of several regional circuits for players with aspirations of making the big leagues,"One of its alumni is Ryan Palmer, who held off Vijay Singh last month at Disney for his first PGA Tour victory.","Tight Lies Tour Goes Against the Grain (AP) AP - The Tight Lies Tour is one of several regional circuits for players with aspirations of making the big leagues. One of its alumni is Ryan Palmer, who held off Vijay Singh last month at Disney for his first PGA Tour victory.",2025,Sports,Jane Doe,The Guardian
205,Motorola Acquiring Wireless Networking Firm MeshNetworks Motorola Inc,"is acquiring MeshNetworks Inc., developer of a technology that makes it easy to set up and expand wireless networks, in a deal expected to help the world's No. 2 cell phone maker win more government business.","Motorola Acquiring Wireless Networking Firm MeshNetworks Motorola Inc. is acquiring MeshNetworks Inc., developer of a technology that makes it easy to set up and expand wireless networks, in a deal expected to help the world's No. 2 cell phone maker win more government business.",2021,Sci/Tech,Jane Doe,Bloomberg
206,"Tokyo stocks finish lower, US dollar slides against euro, yen? &lt;b&gt;...&lt;/b&gt; Tokyo stocks finished lower Monday as investors took profits from recent gains",The US dollar fell to an all-time low against the euro and a seven-month low against the Japanese yen amid worries about the US current account and budget deficits.,"Tokyo stocks finish lower, US dollar slides against euro, yen? &lt;b&gt;...&lt;/b&gt; Tokyo stocks finished lower Monday as investors took profits from recent gains. The US dollar fell to an all-time low against the euro and a seven-month low against the Japanese yen amid worries about the US current account and budget deficits.",2025,Business,Priya Singh,Reuters
